Index	norge	modell	likestilling	paradoks	myte	voldta
20120101-217866	0	0	0	0	0	0
20120101-217868	0	0	0	0	0	0
20120101-217870	0	0	0	0	0	0
20120101-217871	1	0	0	0	0	0
20120101-217875	0	0	0	0	0	0
20120101-217877	0	0	0	0	0	0
20120101-217879	0	0	0	0	0	0
20120101-217880	0	0	0	0	0	0
20120101-217881	0	0	0	0	0	0
20120101-217882	0	0	0	0	0	0
20120101-217883	0	0	0	0	0	0
20120101-217885	0	0	0	0	0	0
20120101-217886	0	0	0	0	0	0
20120101-6730472	2	0	0	0	0	0
20120101-6731548	0	0	0	0	0	0
20120101-6731553	0	0	0	0	0	0
20120101-6731561	0	0	0	0	0	0
20120101-6731566	0	0	0	0	0	0
20120101-6731569	0	0	0	0	0	0
20120101-6731571	0	0	0	0	0	0
20120101-6731575	0	0	0	0	0	0
20120101-6731577	0	0	0	0	0	0
20120101-6731578	0	0	0	0	0	0
20120101-6731582	0	0	0	0	0	0
20120101-6731588	0	0	0	0	0	0
20120101-6731591	0	0	0	0	0	0
20120101-6731600	0	0	0	0	0	0
20120101-6731612	0	0	0	0	0	0
20120101-6731619	2	0	0	0	0	0
20120101-6731644	0	0	0	0	0	0
20120101-6731667	0	0	0	0	0	0
20120101-6731669	0	0	0	0	0	0
20120101-6731679	0	0	0	0	0	0
20120101-6731683	1	0	0	0	0	0
20120101-6731686	1	0	0	0	0	0
20120101-6731692	0	0	0	0	0	0
20120101-6731699	2	0	0	0	0	0
20120101-6731704	0	0	0	0	0	0
20120101-6731709	0	0	0	0	0	0
20120101-6731728	0	0	0	0	0	0
20120101-6731731	3	0	0	0	0	0
20120101-6731772	0	0	0	0	0	0
20120101-6731787	0	0	0	0	0	0
20120101-6731788	0	0	0	0	0	0
20120101-6731793	0	0	0	0	0	0
20120101-6731802	0	0	0	0	0	0
20120101-6731821	0	0	0	0	0	0
20120101-6731824	0	0	0	0	0	0
20120101-6731825	3	0	0	0	0	0
20120101-6731827	0	0	0	0	0	0
20120101-6731828	8	0	0	0	0	0
20120101-6731842	0	0	0	0	0	0
20120101-6731845	0	0	0	0	0	0
20120101-6731856	0	0	0	0	0	0
20120101-6731860	0	1	0	0	0	0
20120101-6731862	0	0	1	0	0	0
20120101-6731876	0	0	0	0	0	0
20120101-6731896	3	0	0	0	0	0
20120101-6731900	0	0	0	0	0	0
20120101-6731910	0	0	0	0	0	0
20120101-6731913	0	0	0	0	0	0
20120102-12864	0	2	0	0	0	0
20120102-13209	1	0	0	0	0	0
20120102-217887	1	0	0	0	0	0
20120102-217890	0	0	0	0	0	0
20120102-217891	0	0	0	0	0	0
20120102-217894	1	0	0	0	0	0
20120102-217900	0	0	0	0	0	0
20120102-217902	0	0	0	0	0	0
20120102-217910	0	0	0	0	0	0
20120102-217911	0	0	0	0	0	0
20120102-217912	0	0	0	0	0	0
20120102-217913	0	0	0	0	0	0
