Index	likestilling	modell	paradoks	myte	voldta
20051125	21	1	0	0	0
20051126	6	3	0	0	0
20051127	0	1	0	0	0
20051128	0	0	1	0	0
20051129	2	0	0	0	0
20051130	0	0	0	0	0
20051201	0	0	1	0	0
20051202	0	1	0	0	0
20051203	0	0	0	0	0
20051204	0	0	0	0	0
20051205	2	0	0	0	0
20051206	0	1	0	0	0
20051207	0	1	0	0	0
20051208	0	1	0	0	0
20051209	0	1	0	0	0
20051210	0	0	0	0	0
20051211	0	0	0	0	0
20051212	0	1	0	0	0
20051213	0	0	0	0	0
20051214	0	0	0	4	0
20051215	0	0	0	0	0
20051216	2	1	0	2	0
20051217	4	0	0	0	0
20051218	2	1	0	0	0
20051219	0	0	0	0	0
20051220	0	1	0	0	0
20051221	0	1	0	0	0
20051222	0	3	0	0	0
20051223	2	0	0	4	0
20051224	5	0	0	0	0
20051225	0	0	0	0	0
20051226	0	0	0	0	0
20051227	0	0	2	0	0
20051228	4	1	0	0	0
20051229	0	0	0	0	0
20051230	2	0	1	0	1
20051231	0	0	0	0	0
