Index	norge	modell	likestilling	paradoks	myte	voldta
20120101-jonathan-ble-ar	0	0	0	0	0	0
20120101-ni-omkom-under	0	0	0	0	0	0
20120101-ni-omkom-under-	2	0	0	0	0	0
20120104-jakter-seksualf	0	0	0	0	0	0
20120105-norge-kritisere	4	0	0	0	0	0
20120105-vil-gi-bjorgen	1	0	0	0	0	0
20120105-vil-gi-bjorgen-	1	0	0	0	0	0
20120106--euroen-kollaps	0	0	0	0	0	0
20120106--har-en-eu-plan	0	0	0	0	0	0
20120107-oljeutslipp-fra	0	0	0	0	0	0
20120109-alle-mot-romney	0	0	0	0	0	0
20120109-anwar-frikjent	0	0	0	0	0	0
20120109-anwar-frikjent-	0	0	0	0	0	0
20120109-asylsokere-far	2	0	0	0	0	0
20120109-asylsokere-far-	2	0	0	0	0	0
20120109-egmont-betaler	3	0	0	0	0	0
20120109-egmont-betaler-	3	0	0	0	0	0
20120110-telenor-vil-ut	0	0	0	0	0	0
20120112-breivik-uenig-m	0	0	0	0	0	0
20120112-halve-norge-ons	1	0	0	0	0	0
20120112-rode-kors-tvung	0	0	0	0	0	0
20120113-iran-tar-imot-f	0	0	0	0	0	0
20120113-regjeringen-kjo	1	0	0	0	0	0
20120113-sinte-kinesiske	0	0	0	0	0	0
20120114-opphever-sanksj	1	0	0	0	0	0
20120116-motstand-mot-eo	3	0	0	0	0	0
20120116-skandale-om-det	1	0	0	0	0	0
20120117-fant-flere-dode	0	0	0	0	0	0
20120117-pst-trusselvide	2	0	0	0	0	0
20120117-romney-under-pr	0	0	0	0	0	0
20120118-hedin-forbannet	4	0	0	0	0	0
20120118-hoyt-spill-om-e	1	0	0	0	0	0
20120119-anundsen-kunne	0	0	0	0	0	0
20120119-anundsen-kunne-	0	0	0	0	0	0
20120120-holt-nominert-t	0	0	0	0	0	0
20120121-juholt-gar-av-s	0	0	0	0	0	0
20120123-eu-skjerper-syr	0	0	0	0	0	0
20120123-guilin	0	0	0	0	0	0
20120123-guilin-	0	0	0	0	0	0
20120124-flere-kriminell	3	0	0	0	0	0
20120124-flyr-fra-lyntog	1	0	0	0	0	0
20120124-nordlys-over-he	3	0	0	0	0	0
20120125-tre-mulige-skje	0	0	0	0	0	0
20120126-libyere-anklage	0	0	0	0	0	0
20120126-lite-trygt-pa-t	0	0	0	0	0	0
20120127-advares-mot-a-b	0	0	0	0	0	0
20120127-badelykke	0	0	0	0	0	0
20120127-badelykke-	0	0	0	0	0	0
20120127-blir-en-av-dem	0	0	0	0	0	0
20120127-har-aldri-hatt	0	0	0	0	0	0
20120127-har-aldri-hatt-	0	0	0	0	0	0
20120127-leter-etter-sva	1	0	0	0	0	0
20120127-musikk-med-mots	0	0	0	0	0	0
20120127-nynorskforvirri	0	0	0	0	0	0
20120127-svenske-hekser	0	0	0	0	0	0
20120127-svenske-hekser-	0	0	0	0	0	0
20120127-varmer-i-kulda	1	0	0	0	0	0
20120127-varmer-i-kulda-	1	0	0	0	0	0
20120128-den-nye-alfahun	2	2	0	0	0	0
20120128-den-spanske-job	0	0	0	0	0	0
20120128-flyr-hoyt	0	0	0	0	0	0
20120128-flyr-hoyt-	0	0	0	0	0	0
20120128-flyr-hoyt------	0	0	0	0	0	0
20120128-glad-for-beklag	9	0	0	0	0	0
20120128-northugs-neste	1	0	0	0	0	0
20120128-rock-n-roll-fra	0	0	0	0	0	0
20120128-tok-oppvasken	13	0	0	0	0	0
20120128-tok-oppvasken-	13	0	0	0	0	0
20120128-tok-oppvasken--	13	0	0	0	0	0
20120128-transformert-su	0	0	0	0	0	0
20120128-vi-i-villa-sten	3	0	0	1	0	0
20120130-eksplosiv-ekspo	6	0	0	0	0	0
20120130-god-respons-for	0	0	0	0	0	0
20120130-misnoye-hos-eu	0	0	0	0	0	0
20120130-sjanselos-mot-s	0	0	0	0	0	0
20120130-slik-kan-du-spa	1	0	0	0	0	0
20120131--motstanden-i-f	1	0	0	0	0	0
20120131-ber-heikki-holm	0	0	0	0	0	0
20120131-kjerligheten-bl	0	0	0	0	0	0
20120131-kunstneren-fors	0	1	0	0	0	0
20120131-mannen-som-en-d	0	0	0	0	0	0
20120131-moter-med-norsk	4	0	0	0	0	0
20120131-seks-personer-s	3	0	0	0	0	0
20120131-sykepleierene-e	0	0	0	0	0	0
20120201-det-elleville-f	1	0	0	0	0	0
20120201-hele-dagsavisen	1	0	0	0	0	0
20120201-kjoper-seg-defi	0	2	0	0	0	0
20120201-teltleirene-inn	0	0	0	0	0	0
20120202-advarer-boligei	3	0	0	0	0	0
20120202-den-populistisk	1	2	0	0	0	0
20120202-farlige-superkr	0	0	0	0	0	0
20120202-gir-gront-lys-f	0	0	0	0	0	0
20120202-jakter-pa-de-sk	0	0	0	0	0	0
20120202-kjeltringer-i-i	1	0	0	0	0	0
20120202-kulda-dreper-i	0	0	0	0	0	0
20120202-kulda-dreper-i-	0	0	0	0	0	0
20120202-onsker-flere-ho	1	0	0	0	0	0
20120202-streeps-kraftpr	0	0	0	0	0	0
20120202-ulykkesbilen-fu	0	0	0	0	0	0
20120203-en-sommerdag-me	2	0	0	0	0	0
20120203-for-hoye-pa-oss	0	7	0	0	0	0
20120203-hurtige-skudd-i	0	0	0	0	0	0
20120203-ikke-helt-som-f	0	0	0	0	0	0
20120203-kvitrer-pa-twit	2	0	0	0	0	0
