Index	norge	modell	likestilling	paradoks	myte	voldta
20190105---varet-i-2018-var-d	0	0	0	0	0	0
20190105-1969---enden-av-en-a	0	0	0	0	0	0
20190105-arhundrets-funn-fra-	0	0	0	0	0	0
20190105-denne-dietten-er-kar	1	0	0	0	0	0
20190105-du-verden-for-en-bab	0	0	0	0	0	0
20190105-hiphopkronikoren	0	0	0	0	0	0
20190105-hoyrepopulister-har-	0	0	0	0	0	0
20190105-jeg-dro-pa-apninga-a	0	0	0	0	0	0
20190105-kan-ga-mot-ny-krf-st	0	0	0	0	0	0
20190105-klabo-med-kjempeutga	0	0	0	0	0	0
20190105-kristopher-schau-om-	3	0	0	0	0	0
20190105-null-lonnsstyring	1	0	0	0	0	0
20190105-ny-rasisme-artikkel-	4	0	0	0	0	0
20190105-oppfordrer-til-boiko	0	0	0	0	0	0
20190105-ostberg-koblet-grepe	0	0	0	0	0	0
20190105-politiet-brukte-tare	0	0	0	0	0	0
20190105-riise-blir-sportsdir	2	0	0	0	0	0
20190105-solskjar-og-united-g	0	0	0	0	0	0
20190105-stadig-flere-reiser-	0	0	0	0	0	0
20190105-utpressingssak-opp-f	0	0	0	0	0	0
20190106---a-motsette-seg-avt	0	0	0	0	0	0
20190106---fotballtrener-send	0	0	0	0	0	0
20190106---varet-i-2018-var-d	0	0	0	0	0	0
20190106-alexander-os-vant-fe	0	0	0	0	0	0
20190106-demokrater-varsler-r	0	0	0	0	0	0
20190106-departementet-vil-ik	1	0	0	0	0	0
20190106-dette-var-de-mest-om	2	0	0	0	0	0
20190106-dette-var-toppsakene	2	0	0	0	0	0
20190106-drommedestinasjonene	3	0	0	0	0	0
20190106-enga-stakk-av-med-me	2	0	0	0	0	0
20190106-grusom-skade-oversky	0	0	0	0	0	0
20190106-mann-tiltalt-for-a-h	0	0	0	0	0	0
20190106-ostberg-gikk-til-top	0	0	0	0	0	0
20190106-reiselivsaktorer-sta	0	0	0	0	0	0
20190106-tror-vi-er-over-topp	1	0	0	0	0	0
20190106-ustoppelige-riiber-v	0	0	0	0	0	0
20190107---nye-regler-for-ape	2	0	0	0	0	0
20190107-100-ar-med-alderstry	0	0	0	0	0	0
20190107-1969---enden-av-en-a	0	0	0	0	0	0
20190107-26-aring-siktet-for-	0	0	0	0	0	1
20190107-263-fall-pa-glattise	0	0	0	0	0	0
20190107-32-leger-og-forskere	0	0	0	0	0	0
20190107-anmeldelse-harald-zw	5	0	0	0	0	0
20190107-bohemian-rhapsody-be	0	0	0	0	0	0
20190107-dette-blir-de-sports	5	0	0	0	0	0
20190107-fyrverkeri-avfyrt-in	0	0	0	0	0	0
20190107-gront-lys-for-jakt-p	0	0	0	0	0	0
20190107-hvem-skal-fa-togene-	5	2	0	0	0	0
20190107-ingen-pagrepet-etter	0	0	0	0	0	0
20190107-leter-etter-svar-ett	2	0	0	0	0	0
20190107-lite-tillit-stor-gra	0	0	0	0	0	0
20190107-mystiske-lyder-pa-us	0	0	0	0	0	0
20190107-nordmenn-bytter-span	4	0	0	0	0	0
20190107-norske-apoteker-tomm	2	0	0	0	0	0
20190107-ole-er-fortsatt-idol	0	0	0	0	0	0
20190107-plater-som-kommer-og	1	0	0	0	0	0
20190107-regjeringen-vil-senk	1	0	0	0	0	0
20190107-shadary-hevder-han-v	0	0	0	0	0	0
20190107-staten-laget-nye-reg	2	0	0	0	0	0
20190107-syrias-siste-hap-slu	0	0	0	0	0	0
20190107-to-menn-i-retten-for	0	0	0	0	0	0
20190107-trente-haugesund-i-d	0	0	0	0	0	0
20190107-valerenga-matte-jobb	0	0	0	0	0	0
20190108---ble-gjengvoldtatt-	0	0	0	0	0	3
20190108---derfor-lot-vi-ibra	0	0	0	0	0	0
20190108---en-helt-fastlast-s	0	0	0	0	0	0
20190108---mesternes-mester-f	0	0	0	0	0	0
20190108-abdi-om-exiten---har	0	0	0	0	0	0
20190108-bomstasjonene-kan-fo	0	0	0	0	0	0
20190108-derfor-er-usas-polit	0	0	0	0	0	0
20190108-det-snor-i-oslo---me	0	0	0	0	0	0
20190108-fyrverkeri-skutt-opp	0	0	0	0	0	0
20190108-her-ligger-oslos-sis	0	0	0	0	0	0
20190108-knallharde-frp-krav-	1	0	0	0	0	0
20190108-kvinne-forsikret-dod	0	0	0	0	0	0
20190108-liverpool-ute-av-fa-	0	0	0	0	0	0
20190108-mann-med-hammer-skad	0	0	0	0	0	0
20190108-merkel-fordommer-vol	0	0	0	0	0	0
20190108-na-kan-du-leie-el-la	0	0	0	0	0	0
20190108-na-kan-horneland-tre	0	0	0	0	0	0
20190108-reform-gjor-rik	0	1	0	0	0	0
20190108-rekordar-for-nationa	0	0	0	0	0	0
20190108-ruud-slatt-ut-av-aus	0	0	0	0	0	0
20190108-sjefokonom-vil-gi-pa	1	0	0	0	0	0
20190108-slo-alle-sammen	4	0	0	0	0	0
20190108-snart-er-det-var-igj	0	0	0	0	0	0
20190108-torkerammede-bonder-	0	0	0	0	0	0
20190108-tre-tenaringer-pagre	0	0	0	0	0	0
20190108-tybring-gjedde-om-fr	0	0	0	0	0	0
20190108-ulvemotstandere-i-st	3	0	0	0	0	0
20190108-united-mot-arsenal-i	0	0	0	0	0	0
20190108-vapeneksport---ma-se	2	0	0	0	0	0
20190109---en-helt-fastlast-s	0	0	0	0	0	0
20190109---ungdom-presses-ove	0	0	0	0	0	0
20190109-besok-hos-erkefiende	0	0	0	0	0	0
20190109-co2-utslippene-i-usa	0	0	0	0	0	0
20190109-de-rode-i-krf-avvise	0	0	0	0	0	0
20190109-fellesforbundet-ut-m	1	1	0	0	0	0
20190109-gjennombrudd-i-skred	0	0	0	0	0	0
20190109-hareide-mener-krf-ma	0	0	0	0	0	0
20190109-holden-familien-har-	0	0	0	0	0	0
20190109-horneland-vi-ma-ha-e	2	0	0	0	0	0
20190109-karet-til-arets-best	2	1	0	0	0	0
20190109-karin-tilbys-vask-hv	0	0	0	0	0	0
20190109-landslagssjefen-vil-	0	0	0	0	0	0
20190109-mannen-som-hindrer-t	0	0	0	0	0	0
20190109-mannlige-klinikkansa	0	0	0	0	0	0
20190109-na-ma-inga-marte-tho	0	0	0	0	0	0
20190109-nar-munch-forsvinner	0	0	0	0	0	0
20190109-nato---norge-trenger	5	0	0	0	0	0
20190109-politiet---ingen-liv	2	0	0	0	0	0
20190109-politiet-om-bortfori	3	0	0	0	0	0
20190109-slik-vil-ap-gi-fagli	3	0	0	0	0	0
20190109-trump---en-humanitar	0	0	0	0	0	0
20190109-vant-kapplopet-om-po	3	0	0	0	0	0
20190110---glad-karin-sa-ifra	0	0	0	0	0	0
20190110---hareide-opptrer-uk	0	0	0	0	0	0
20190110---ikke-kodd-med-oslo	2	0	0	0	0	0
20190110---norske-formuende-e	5	0	0	0	0	0
20190110---svingninger-er-det	0	0	0	0	0	0
20190110-brexit-datoen-for-st	0	0	0	0	0	0
20190110-dagens-naringsliv-sn	0	0	0	0	0	0
20190110-filmvaren---et-krise	0	0	0	0	0	0
20190110-forskere-innvandring	2	0	0	0	0	0
20190110-gisselekspert-om-ant	2	0	0	0	0	0
20190110-huawei-kan-bli-utest	6	0	0	0	0	0
20190110-ingebrigtsen-krever-	0	0	0	0	0	0
20190110-mahad-mahamud-tapte-	3	0	0	0	0	0
20190110-naringslivstopp-krit	7	0	0	0	0	0
20190110-opposisjonen-vant-ko	0	0	0	0	0	0
