Index	norge	modell	likestilling	paradoks	myte	voldta
20190102-familien---schumache	0	0	0	0	0	0
20190102-fikk-opphold-i-norge	4	0	0	0	0	0
20190102-flyselskap-fikk-data	0	0	0	0	0	0
20190102-fredrik-sjolstad-gli	0	0	0	0	0	0
20190102-frode-thuen-han-vil-	0	0	0	0	0	0
20190102-her-er-city-stjernen	0	0	0	0	0	0
20190102-hoppsjefen-bekymret-	1	0	0	0	0	0
20190102-ingen-vet-om-trump-t	5	0	0	0	0	0
20190102-iversen-exit-ble-bes	0	0	0	0	0	0
20190102-iversen-ofrer-penger	2	0	0	0	0	0
20190102-iversen-smadret-konk	0	0	0	0	0	0
20190102-jodeaksjonen-var-ann	2	0	0	0	0	0
20190102-kan-bli-presentert-i	0	0	0	0	0	0
20190102-karoline-bjerkeli-gr	3	0	0	0	0	0
20190102-ketamin-er-et-trygt-	1	0	0	0	0	0
20190102-krf-vara-pa-storting	0	0	0	0	0	0
20190102-kvinnelige-kunstnere	0	0	0	0	0	0
20190102-litteratur-som-preve	0	0	0	0	0	0
20190102-manchester-united-st	0	0	0	0	0	0
20190102-mann-i-40-arene-kniv	0	0	0	0	0	0
20190102-mitt-romney-med-kras	0	0	0	0	0	0
20190102-motte-til-pressetref	3	0	0	0	0	0
20190102-na-blir-han-tidenes-	0	0	0	0	0	0
20190102-naustet-ble-til-pa-f	0	0	0	0	0	0
20190102-netflix-dropper-sati	0	0	0	0	0	0
20190102-nils-jakob-hoff-sett	0	0	0	0	0	0
20190102-norden-pa-vei-mot-fe	3	0	0	0	0	0
20190102-norges-holdning-er-o	2	0	0	0	0	0
20190102-ny-regel-skulle-fa-h	2	2	0	0	0	0
20190102-optimistisk-foran-re	0	0	0	0	0	0
20190102-ostberg-vant-spurtdr	1	0	0	0	0	0
20190102-parorende-er-mer-pre	0	0	0	0	0	0
20190102-paven---bedre-a-vare	0	0	0	0	0	0
20190102-politikken-din-i-hos	1	0	0	0	0	0
20190102-remi-natvik-onsket-i	0	0	0	0	0	0
20190102-restaurantanmeldelse	0	0	0	0	0	0
20190102-rod-start-pa-aret-fo	0	0	0	0	0	0
20190102-sandnes-ulf-fikk-nei	0	0	0	0	0	0
20190102-seks-mennesker-omkom	1	0	0	0	0	0
20190102-serieprat-disse-seri	0	0	0	0	0	0
20190102-siv-jensen---pa-noen	1	0	0	0	0	0
20190102-skoleelev-domt-for-t	0	0	0	0	0	1
20190102-slik-ble-marine-le-p	0	0	0	0	0	0
20190102-solberg-vil-ikke-gi-	2	0	0	0	0	0
20190102-solskjar-er-usikker-	0	0	0	0	0	0
20190102-sprekpodden-ned-i-ve	0	0	0	0	0	0
20190102-start-interessert-i-	0	0	0	0	0	0
20190102-stjernene-avviser-kr	0	0	0	0	0	0
20190102-stopper-forlater-til	0	0	0	0	0	0
20190102-stor-oversikt-dette-	1	0	0	0	0	0
20190102-storebaltsbroen-sten	2	0	0	0	0	0
20190102-syv-ting-som-kan-avg	0	0	0	0	0	0
20190102-tenaring-skadet-i-fy	0	0	0	0	0	0
20190102-to-kvinner-pa-tempel	0	0	0	0	0	0
20190102-to-nye-nordmenn-trek	0	0	0	0	0	0
20190102-tre-finner-og-en-sve	1	0	0	0	0	0
20190102-trobbel-under-tour-d	1	0	0	0	0	0
20190102-tusenvis-stromlose-e	2	0	0	0	0	0
20190102-tv-anmeldelse-das-bo	0	0	0	0	0	0
20190102-ulleval-sykehus-er-b	0	0	0	0	0	0
20190102-verdens-eldste-perso	0	0	0	0	0	0
20190102-vil-ta-grep-for-a-te	0	0	0	0	0	0
20190102-weng-trosser-skade-o	0	0	0	0	0	0
20190103-10-tips-for-helgen-3	1	0	0	0	0	0
20190103-16-aring-eksperiment	0	0	0	0	0	0
20190103-25-aring-dode-etter-	0	0	0	0	0	0
20190103-aftenposten-mener-so	2	0	0	0	0	0
20190103-alfrida-er-den-kraft	1	0	0	0	0	0
20190103-anerkjent-fotballskr	0	0	0	0	0	0
20190103-antall-dode-i-toguly	0	0	0	0	0	0
20190103-asen-onsket-pa-lerke	0	0	0	0	0	0
20190103-bekreftet-her-er-ros	0	0	0	0	0	0
20190103-brann-slukket-i-rekk	0	0	0	0	0	0
20190103-casper-ruud-videre-t	0	0	0	0	0	0
20190103-darlig-var-kan-skape	3	0	0	0	0	0
20190103-darligste-punktlighe	1	0	0	0	0	0
20190103-de-sa-plutselig-de-s	0	0	0	0	0	0
20190103-den-nordiske-dietten	0	0	0	0	0	0
20190103-dette-sier-direktore	0	0	0	0	0	0
20190103-equinor-og-telenor-n	0	0	0	0	0	0
20190103-farre-migranter-omko	0	0	0	0	0	0
20190103-filmanmeldelse-kansk	0	0	0	0	0	0
20190103-filmanmeldelse-skal-	0	0	0	0	0	0
20190103-for-farlig-a-sette-i	0	0	0	0	0	0
20190103-forfang-hoppet-lengs	0	0	0	0	0	0
20190103-fra-mandag-kveld-bli	0	0	0	0	0	0
20190103-full-overtenning-i-f	0	0	0	0	0	0
20190103-gule-vester-leder-pa	0	0	0	0	0	0
20190103-han-har-fatt-sparken	0	0	0	0	0	0
